Week	Away	Home	AwayScore	HomeScore	Winner
13	WAS	NYG	20	20	TIE
13	DEN	BAL	9	10	BAL
13	GB	CHI	28	19	GB
13	PIT	ATL	19	16	PIT
13	NYJ	MIN	22	27	MIN
13	MIA	SF	17	33	SF
13	SEA	LA	27	23	SEA
13	LAC	LV	20	27	LV
13	KC	CIN	24	27	CIN
13	IND	DAL	19	54	DAL
13	NO	TB	16	17	TB
14	LV	LA	16	17	LA
14	MIN	DET	23	34	DET
14	BAL	PIT	16	14	BAL
14	CLE	CIN	10	23	CIN
14	NYJ	BUF	12	20	BUF
14	HOU	DAL	23	27	DAL
14	PHI	NYG	48	22	PHI
14	JAX	TEN	36	22	JAX
14	KC	DEN	34	28	KC
14	CAR	SEA	30	24	CAR
14	TB	SF	7	35	SF
14	MIA	LAC	17	23	LAC
14	NE	ARI	27	13	NE
15	SF	SEA	21	13	SF
15	IND	MIN	36	39	MIN
15	BAL	CLE	3	13	CLE
15	MIA	BUF	29	32	BUF
15	PHI	CHI	25	20	PHI
15	DET	NYJ	20	17	DET
15	PIT	CAR	24	16	PIT
15	KC	HOU	30	24	KC
15	ATL	NO	18	21	NO
15	DAL	JAX	34	40	JAX
15	ARI	DEN	15	24	DEN
15	NE	LV	24	30	LV
15	TEN	LAC	14	17	LAC
15	CIN	TB	34	23	CIN
15	NYG	WAS	20	12	NYG
15	LA	GB	12	24	GB
16	JAX	NYJ	19	3	JAX
16	ATL	BAL	9	17	BAL
16	DET	CAR	23	37	CAR
16	SEA	KC	10	24	KC
16	NO	CLE	17	10	NO
16	CIN	NE	22	18	CIN
16	NYG	MIN	24	27	MIN
16	BUF	CHI	35	13	BUF
16	HOU	TEN	19	14	HOU
16	WAS	SF	20	37	SF
16	PHI	DAL	34	40	DAL
16	LV	PIT	10	13	PIT
16	GB	MIA	26	20	GB
16	DEN	LA	14	51	LA
16	TB	ARI	19	16	TB
16	LAC	IND	20	3	LAC
17	DAL	TEN	27	13	DAL
17	ARI	ATL	19	20	ATL
17	MIA	NE	21	23	NE
17	NO	PHI	20	10	NO
17	IND	NYG	10	38	NYG
17	CAR	TB	24	30	TB
17	DEN	KC	24	27	KC
17	CHI	DET	10	41	DET
17	CLE	WAS	24	10	CLE
17	JAX	HOU	31	3	JAX
17	SF	LV	37	34	SF
17	NYJ	SEA	6	23	SEA
17	MIN	GB	17	41	GB
17	LA	LAC	10	31	LAC
17	PIT	BAL	16	13	PIT
18	KC	LV	31	13	KC
18	TEN	JAX	16	20	JAX
18	CLE	PIT	14	28	PIT
18	BAL	CIN	16	27	CIN
18	MIN	CHI	29	13	MIN
18	NE	BUF	23	35	BUF
18	NYJ	MIA	6	11	MIA
18	TB	ATL	17	30	ATL
18	CAR	NO	10	7	CAR
18	HOU	IND	32	31	HOU
18	ARI	SF	13	38	SF
18	DAL	WAS	6	26	WAS
18	LA	SEA	16	19	SEA
18	NYG	PHI	16	22	PHI
18	LAC	DEN	28	31	DEN
18	DET	GB	20	16	DET
